Pfam_Architecture	UniProt_ID
Peptidase_C14[49:172]-7tm_1[173:329]	tr|T1FFC9|T1FFC9_HELRO
7tm_7[28:356]-Peptidase_C14[413:642]	tr|A0A182MKS7|A0A182MKS7_9DIPT
Pepdidase_M14_N[84:179]-Peptidase_M14[314:431]-Peptidase_C14[1017:1249]-AAA_2[1491:1702]-ClpB_D2-small[1709:1780]	tr|A0A1J1IL28|A0A1J1IL28_9DIPT
BCS1_N[64:242]-AAA[278:426]-Peptidase_C14[610:1085]	tr|A0A146IGQ9|A0A146IGQ9_9AGAR
Peptidase_C14[3:174]-AAA_11[509:585]-AAA_11[804:852]-AAA_12[894:1065]	tr|A0A495JNM8|A0A495JNM8_9ACTN
Peptidase_C14[3:145]-AAA_11[518:862]-AAA_12[904:1076]	tr|A0A2W6BBC5|A0A2W6BBC5_9ACTN
Peptidase_C14[3:192]-AAA_11[509:580]-AAA_19[581:804]-AAA_11[805:853]-AAA_12[895:1066]	tr|A0A1C5JG01|A0A1C5JG01_9ACTN
Peptidase_C14[3:191]-AAA_11[509:844]-AAA_12[876:1057]	tr|A0A4R2B6P9|A0A4R2B6P9_9ACTN
Peptidase_C14[3:192]-AAA_11[509:580]-AAA_11[805:853]-AAA_12[895:1066]	tr|A0A3N9XL30|A0A3N9XL30_9ACTN
Peptidase_C14[3:191]-AAA_11[510:619]-AAA_11[813:853]-AAA_12[895:1066]	tr|A0A562WM19|A0A562WM19_9ACTN
Peptidase_C14[7:248]-AAA_11[546:894]-AAA_12[934:1105]	tr|A0A1H0S405|A0A1H0S405_9ACTN
Peptidase_C14[3:195]-AAA_11[510:845]-AAA_12[878:1058]	tr|G8SDP9|G8SDP9_ACTS5
Peptidase_C14[3:191]-AAA_11[509:577]-AAA_11[826:866]-AAA_12[908:1079]	tr|A0A3N1ANL4|A0A3N1ANL4_9ACTN
Peptidase_C14[4:233]-AAA_11[518:650]-AAA_19[651:814]-AAA_11[815:852]-AAA_12[894:1065]	tr|A0A4U3LPZ3|A0A4U3LPZ3_9ACTN
Peptidase_C14[7:242]-AAA_11[541:883]-AAA_12[921:1095]	tr|A0A0N9IC57|A0A0N9IC57_9PSEU
Peptidase_C14[6:242]-AAA_11[543:883]-AAA_12[916:1095]	tr|A0A421B3S5|A0A421B3S5_9PSEU
Peptidase_C14[12:227]-AAA_11[533:669]-AAA_11[838:879]-AAA_12[919:1094]	tr|V6L877|V6L877_9ACTN
